id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-675630,2020-01-08,Vente,197370.0,181,,RUE JOLIOT CURIE,3895,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.77711,45.753
2020-675631,2020-01-03,Vente,164720.0,72,,RUE SAINT PIERRE DE VAISE,6525,69009,Lyon 9e Arrondissement,69,32.82,38.0,Appartement,1,0.0,4.80295,45.77143
2020-675632,2020-01-14,Vente,235000.0,20,,RUE DES CAPUCINS,1245,69001,Lyon 1er Arrondissement,69,42.64,38.0,Appartement,2,0.0,4.8349,45.76937
2020-675633,2020-01-02,Vente,23850.0,11,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,98.0,Maison,4,346.0,4.81777,45.75595
2020-675633,2020-01-02,Vente,23850.0,11,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,346.0,4.81777,45.75595
2020-675633,2020-01-02,Vente,23850.0,11,A,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.81786,45.75603
2020-675638,2020-01-08,Vente,290000.0,15,,RUE AUGUSTE COMTE,0535,69002,Lyon 2e Arrondissement,69,,143.0,Local industriel. commercial ou assimilé,0,0.0,4.8315,45.75486
2020-675639,2020-01-17,Vente,22000.0,52,,AV DU POINT DU JOUR,5620,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.79924,45.75717
2020-675640,2020-01-17,Vente,321000.0,4,,RUE JOUFFROY D ABBANS,3930,69009,Lyon 9e Arrondissement,69,,85.0,Appartement,3,0.0,4.80369,45.77521
2020-675643,2020-01-10,Vente,208000.0,8,,RUE DES NOUVELLES MAISONS,5085,69009,Lyon 9e Arrondissement,69,,55.0,Appartement,3,0.0,4.80668,45.77225
2020-675646,2020-01-09,Vente,187350.0,78,,RUE DU BOURBONNAIS,1065,69009,Lyon 9e Arrondissement,69,,10.0,Local industriel. commercial ou assimilé,0,0.0,4.79723,45.77404
2020-675646,2020-01-09,Vente,187350.0,78,,RUE DU BOURBONNAIS,1065,69009,Lyon 9e Arrondissement,69,,10.0,Local industriel. commercial ou assimilé,0,0.0,4.79723,45.77404
2020-675646,2020-01-09,Vente,187350.0,78,,RUE DU BOURBONNAIS,1065,69009,Lyon 9e Arrondissement,69,,122.0,Local industriel. commercial ou assimilé,0,0.0,4.79723,45.77404
2020-675647,2020-01-06,Vente,187000.0,14,,RUE LANTERNE,4140,69001,Lyon 1er Arrondissement,69,37.9,44.0,Appartement,1,0.0,4.83155,45.76642
2020-675648,2020-01-02,Vente,68900.0,15,,RUE ARTAUD,0490,69004,Lyon 4e Arrondissement,69,20.02,20.0,Appartement,1,0.0,4.8347,45.78159
2020-675650,2020-01-05,Vente,150000.0,14,,RUE DE L ALMA,0165,69001,Lyon 1er Arrondissement,69,,109.0,Appartement,3,0.0,4.8283,45.77281
2020-675651,2020-01-22,Vente,146000.0,3,,RUE ALBERT JACQUARD,0118,69009,Lyon 9e Arrondissement,69,,57.0,Appartement,3,0.0,4.79451,45.7859
2020-675653,2020-01-15,Vente,389500.0,28,,RUE STE HELENE,6635,69002,Lyon 2e Arrondissement,69,52.8,58.0,Local industriel. commercial ou assimilé,0,0.0,4.83117,45.7541
2020-675657,2020-01-08,Vente,810000.0,4,,RUE CARDINAL GERLIER,1247,69005,Lyon 5e Arrondissement,69,,108.0,Maison,6,512.0,4.81454,45.75838
2020-675658,2020-01-20,Vente,332785.0,5,,RUE JUSTIN GODART,4060,69004,Lyon 4e Arrondissement,69,,30.0,Appartement,2,0.0,4.83537,45.77607
2020-675660,2020-01-14,Vente,570855.0,6,,RUE VICTOR HUGO,7405,69002,Lyon 2e Arrondissement,69,,88.0,Appartement,3,0.0,4.83104,45.75641
2020-675661,2020-01-18,Vente,3000.0,6,,RUE BOURGELAT,1075,69002,Lyon 2e Arrondissement,69,,38.0,Appartement,2,0.0,4.8264,45.75352
2020-675662,2020-01-15,Vente,535145.0,17,,RUE VICTOR HUGO,7405,69002,Lyon 2e Arrondissement,69,,94.0,Appartement,2,0.0,4.83094,45.75541
2020-675662,2020-01-15,Vente,535145.0,17,,RUE VICTOR HUGO,7405,69002,Lyon 2e Arrondissement,69,,165.0,Local industriel. commercial ou assimilé,0,0.0,4.83094,45.75541
2020-675666,2020-01-08,Vente,161000.0,36,,RUE DES CHEVAUCHEURS,1620,69005,Lyon 5e Arrondissement,69,,43.0,Appartement,1,0.0,4.81269,45.75573
2020-675668,2020-01-03,Vente,297000.0,22,,RUE DE CUIRE,2025,69004,Lyon 4e Arrondissement,69,106.88,106.0,Local industriel. commercial ou assimilé,0,0.0,4.83056,45.77647
2020-675668,2020-01-03,Vente,297000.0,22,,RUE DE CUIRE,2025,69004,Lyon 4e Arrondissement,69,106.88,18.0,Appartement,0,0.0,4.83056,45.77647
2020-675669,2020-01-06,Vente,769500.0,32,B,RUE CHAZIERE,1600,69004,Lyon 4e Arrondissement,69,,144.0,Appartement,5,0.0,4.81799,45.77656
2020-675669,2020-01-06,Vente,769500.0,32,B,RUE CHAZIERE,1600,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.81799,45.77656
2020-675670,2020-01-06,Vente,191200.0,43,,RUE PROFESSEUR PATEL,5775,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79329,45.7658
2020-675670,2020-01-06,Vente,191200.0,49,,RUE PROFESSEUR PATEL,5775,69009,Lyon 9e Arrondissement,69,61.21,62.0,Appartement,3,0.0,4.79329,45.7658
2020-675671,2020-01-08,Vente,254000.0,47,,RUE JACQUES - LOUIS HENON,3465,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.82721,45.77936
2020-675671,2020-01-08,Vente,254000.0,55,,BD DES CANUTS,1215,69004,Lyon 4e Arrondissement,69,43.01,42.0,Appartement,2,0.0,4.82721,45.77936
2020-675676,2020-01-07,Vente,1767000.0,33,,RUE TUPIN,7200,69002,Lyon 2e Arrondissement,69,,65.0,Appartement,3,105.0,4.83534,45.76311
2020-675676,2020-01-07,Vente,1767000.0,33,,RUE TUPIN,7200,69002,Lyon 2e Arrondissement,69,,32.0,Appartement,1,105.0,4.83534,45.76311
2020-675676,2020-01-07,Vente,1767000.0,33,,RUE TUPIN,7200,69002,Lyon 2e Arrondissement,69,,64.0,Appartement,3,105.0,4.83534,45.76311
2020-675676,2020-01-07,Vente,1767000.0,33,,RUE TUPIN,7200,69002,Lyon 2e Arrondissement,69,,204.0,Local industriel. commercial ou assimilé,0,105.0,4.83534,45.76311
2020-675676,2020-01-07,Vente,1767000.0,33,,RUE TUPIN,7200,69002,Lyon 2e Arrondissement,69,,65.0,Local industriel. commercial ou assimilé,0,105.0,4.83534,45.76311
2020-675676,2020-01-07,Vente,1767000.0,33,,RUE TUPIN,7200,69002,Lyon 2e Arrondissement,69,,65.0,Appartement,3,105.0,4.83534,45.76311
2020-675677,2020-01-16,Vente,266667.0,14,,RUE ROGER SALENGRO,6100,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80673,45.77778
