latitude,longitude,airbnbValue,cadastreValue,ratio
45.7819,4.82092,6830,360000,0.018972222
45.776146,4.8449965,0,739800,0.0
45.756187,4.8354554,5253,185000,0.028394595
45.75759,4.8101063,11937,360500,0.033112343
45.780045,4.812775,0,231500,0.0
45.747616,4.78742,2995,170325,0.017584031
45.78592,4.81903,3067,345848,0.008868057
45.776096,4.8347034,5600,353873,0.015824886
45.758457,4.834883,8746,292820,0.029868178
45.77983,4.80421,20749,333200,0.062271908
45.776333,4.839853,22083,274334,0.080496766
45.763374,4.8329983,8338,567216,0.014699867
45.77076,4.833546,7936,269498,0.029447343
45.72479,4.8763785,0,191795,0.0
45.763187,4.8571134,1093,152000,0.0071907896
45.749245,4.839688,1638,180000,0.0091
45.776836,4.813046,14666,195325,0.07508511
45.805084,4.8361535,8581,118000,0.07272034
45.740067,4.8401914,0,325000,0.0
45.73721,4.87021,4794,316000,0.015170886
45.769863,4.8358393,5684,300333,0.01892566
45.759212,4.8337812,5691,343325,0.01657613
45.75748,4.791442,0,218297,0.0
45.752644,4.802015,21329,274666,0.07765432
45.7808,4.839652,0,238040,0.0
45.76842,4.852125,105,206900,5.074915E-4
45.7418,4.876173,0,235450,0.0
45.768063,4.8035827,0,141012,0.0
45.76658,4.8231463,8135,276100,0.029463962
45.73299,4.875859,0,183528,0.0
45.753387,4.8405814,2918,216025,0.013507696
45.741013,4.853529,0,192000,0.0
45.76804,4.8481784,4429,372225,0.011898717
45.78584,4.8039064,9559,108291,0.08827142
45.760067,4.87084,0,327533,0.0
45.748257,4.879695,0,129000,0.0
45.781307,4.8063526,0,181962,0.0
45.754925,4.81547,0,214716,0.0
45.75616,4.874387,3874,135995,0.028486341
45.78888,4.819315,0,307000,0.0
45.739143,4.8659124,355,168000,0.0021130953
45.758373,4.823558,8631,223136,0.038680445
45.773705,4.823605,9598,331394,0.028962504
45.748592,4.8554845,51,233083,2.1880618E-4
45.74971,4.841229,16361,101336,0.161453
45.735855,4.8578134,0,248922,0.0
45.75391,4.867133,3813,266040,0.014332431
45.761795,4.826046,11953,335000,0.035680596
45.75165,4.807747,6907,262595,0.026302861
45.73414,4.835171,101,240500,4.199584E-4
45.735275,4.82405,0,329926,0.0
45.73378,4.865568,0,175425,0.0
45.748745,4.811875,1293,386750,0.003343245
45.774895,4.8042374,0,248533,0.0
45.747364,4.854685,0,290800,0.0
45.772305,4.8361745,2535,368780,0.006874017
45.74137,4.841573,0,180500,0.0
45.761566,4.8668065,3398,160250,0.021204367
45.75523,4.8314,5241,464029,0.011294553
45.74457,4.81746,4089,297997,0.013721615
45.745163,4.86554,0,251024,0.0
45.76339,4.8604765,16,275000,5.8181817E-5
45.736908,4.834875,0,338000,0.0
45.77536,4.8431644,2041,192500,0.010602597
45.777218,4.803834,3864,211797,0.018243885
45.751526,4.841512,1857,233000,0.007969957
45.73626,4.887476,0,168083,0.0
45.767193,4.8462424,9826,487500,0.020155897
45.763596,4.8684735,434,303666,0.0014292018
45.756905,4.8309054,2342,607027,0.003858148
45.735256,4.8392367,13726,227500,0.060334068
45.75634,4.8500443,0,167500,0.0
45.769264,4.816769,11090,151666,0.0731212
45.732185,4.871942,0,181193,0.0
45.75708,4.8669024,10552,215010,0.049076788
45.746407,4.8228245,3807,236077,0.016126094
45.77065,4.795282,2613,491496,0.005316422
45.736958,4.8273473,4562,244450,0.018662304
45.74733,4.8486047,2310,274700,0.008409173
45.75337,4.85316,5151,541000,0.009521257
45.751114,4.8670273,9301,268816,0.034599874
45.746788,4.846813,1715,217244,0.007894349
45.74432,4.8625317,11663,247200,0.04718042
45.76643,4.863058,9214,258650,0.03562343
45.74404,4.844925,6804,237240,0.028679818
45.7415,4.886357,32627,330050,0.09885472
45.75029,4.8496547,1059,275000,0.0038509092
45.765324,4.8568096,12873,565900,0.022747835
45.753513,4.873691,1651,272575,0.0060570487
45.772587,4.826155,5429,195630,0.027751368
45.75739,4.848953,949,169500,0.0055988203
45.75934,4.85026,7808,214500,0.036400933
45.756927,4.872642,6859,248795,0.027568882
45.73061,4.8278966,9895,192537,0.05139272
45.77184,4.8324556,782,281037,0.0027825518
45.74766,4.8829618,9773,201533,0.0484933
45.7578,4.8648357,3173,218825,0.014500171
45.73636,4.853662,10344,157108,0.06584006
45.742336,4.835802,0,75750,0.0
45.741035,4.879358,0,244000,0.0
45.74709,4.842819,1619,380016,0.0042603468
45.752865,4.8715215,8334,177900,0.046846543
45.75852,4.7948275,0,220533,0.0
45.751232,4.85024,8017,1830000,0.0043808743
45.769356,4.830305,5778,273358,0.021137116
45.747265,4.8576117,1236,274265,0.0045065903
45.801113,4.8326416,3933,210000,0.018728571
45.776432,4.830722,5414,462211,0.011713265
45.764603,4.8361306,5983,315000,0.018993651
45.785046,4.810692,4235,247068,0.01714103
45.73264,4.85287,7336,185233,0.039604176
45.75889,4.868985,5767,258725,0.022290077
45.762295,4.8360963,12108,859550,0.01408644
45.747654,4.840285,0,282950,0.0
45.77253,4.845932,6154,440000,0.013986364
45.762035,4.8700366,2964,263228,0.0112602
45.773846,4.806969,0,1192500,0.0
