id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-680993,2020-11-09,Vente,250000.0,30,,RUE DE BOURGOGNE,1085,69009,Lyon 9e Arrondissement,69,57.07,61.0,Appartement,2,0.0,4.80394,45.77765
2020-680993,2020-11-09,Vente,250000.0,32,,RUE DE BOURGOGNE,1085,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80394,45.77765
2020-680995,2020-11-05,Vente,365000.0,57,,RUE JACQUES - LOUIS HENON,3465,69004,Lyon 4e Arrondissement,69,,58.0,Appartement,2,0.0,4.8259,45.77932
2020-680995,2020-11-05,Vente,365000.0,57,,RUE JACQUES - LOUIS HENON,3465,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.8259,45.77932
2020-680997,2020-11-24,Vente,173000.0,259,B,RUE DES ERABLES,2530,69009,Lyon 9e Arrondissement,69,81.35,97.0,Appartement,4,0.0,4.79512,45.7816
2020-680998,2020-11-26,Vente,256000.0,5,,RUE DES MARINIERS,4577,69009,Lyon 9e Arrondissement,69,69.66,69.0,Appartement,3,0.0,4.80824,45.78328
2020-680998,2020-11-26,Vente,256000.0,23,,RUE BOURGET,1080,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.80824,45.78328
2020-680999,2020-11-13,Vente,150000.0,1,,RUE DE MONTRIBLOUD,4905,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79279,45.77277
2020-680999,2020-11-13,Vente,150000.0,5,,RUE DE MONTRIBLOUD,4905,69009,Lyon 9e Arrondissement,69,,42.0,Appartement,2,0.0,4.79279,45.77277
2020-681000,2020-11-20,Vente,240000.0,4,,RUE VICTOR FORT,7395,69004,Lyon 4e Arrondissement,69,,36.0,Appartement,1,0.0,4.83161,45.77552
2020-681003,2020-11-18,Vente,475213.2,181,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,,Local industriel. commercial ou assimilé,0,799.0,4.8182,45.73525
2020-681003,2020-11-18,Vente,475213.2,183,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,,,0,172.0,4.81812,45.73498
2020-681003,2020-11-18,Vente,475213.2,185,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,,,0,173.0,4.8181,45.73486
2020-681003,2020-11-18,Vente,475213.2,83,,QUAI PERRACHE,5355,69002,Lyon 2e Arrondissement,69,,,,0,186.0,4.81829,45.73483
2020-681003,2020-11-18,Vente,475213.2,82,,QUAI PERRACHE,5355,69002,Lyon 2e Arrondissement,69,,,,0,185.0,4.81841,45.73494
2020-681003,2020-11-18,Vente,475213.2,81,,QUAI PERRACHE,5355,69002,Lyon 2e Arrondissement,69,,,,0,176.0,4.8185,45.73504
2020-681003,2020-11-18,Vente,475213.2,185,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,,,0,762.0,4.81827,45.73495
2020-681003,2020-11-18,Vente,475213.2,80,,QUAI PERRACHE,5355,69002,Lyon 2e Arrondissement,69,,,,0,396.0,4.81853,45.73517
2020-681004,2020-11-26,Vente,30000.0,1,,RUE BOURNES,1090,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.82343,45.77659
2020-681006,2020-11-18,Vente,618000.0,28,,RUE DENUZIERE,2140,69002,Lyon 2e Arrondissement,69,,,Dépendance,0,0.0,4.82036,45.74601
2020-681006,2020-11-18,Vente,618000.0,28,,RUE DENUZIERE,2140,69002,Lyon 2e Arrondissement,69,104.04,104.0,Appartement,4,0.0,4.82036,45.74601
2020-681007,2020-11-02,Vente,155000.0,13,,RUE STE-CATHERINE,6610,69001,Lyon 1er Arrondissement,69,31.06,32.0,Appartement,1,0.0,4.83345,45.76851
2020-681009,2020-11-26,Vente,7000.0,41,,RUE DU MAIL,4435,69004,Lyon 4e Arrondissement,69,,60.0,Appartement,2,0.0,4.83287,45.77907
2020-681009,2020-11-26,Vente,7000.0,41,,RUE DU MAIL,4435,69004,Lyon 4e Arrondissement,69,,63.0,Appartement,2,0.0,4.83287,45.77907
2020-681009,2020-11-26,Vente,7000.0,41,,RUE DU MAIL,4435,69004,Lyon 4e Arrondissement,69,,120.0,Appartement,4,0.0,4.83287,45.77907
