id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2016-822313,2016-05-20,Vente,575960.0,,,TISON,B021,69250.0,69003,Albigny-sur-Saône,69,,,,794.0,4.828586,45.859954
2016-822482,2016-05-26,Vente,155000.0,26.0,B,AV DES AVORAUX,0020,69250.0,69003,Albigny-sur-Saône,69,,98.0,4.0,418.0,4.828758,45.872407
2016-822581,2016-06-02,Vente,157000.0,18.0,,AV DES AVORAUX,0020,69250.0,69003,Albigny-sur-Saône,69,,,,594.0,4.829004,45.873513
2016-822624,2016-06-02,Vente,210000.0,,,LES AVORAUX,B001,69250.0,69003,Albigny-sur-Saône,69,,,,500.0,4.828622,45.872373
2016-822624,2016-06-02,Vente,210000.0,,,LES AVORAUX,B001,69250.0,69003,Albigny-sur-Saône,69,,,,400.0,4.828419,45.87223
2016-822634,2016-05-30,Vente,230000.0,16.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,1310.0,0.0,400.0,4.834802,45.866692
2016-822634,2016-05-30,Vente,230000.0,16.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,1310.0,0.0,3554.0,4.834802,45.866692
2016-822634,2016-05-30,Vente,230000.0,16.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,1310.0,0.0,1831.0,4.834802,45.866692
2016-822870,2016-06-20,Vente en l'état futur d'achèvement,153000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,42.0,2.0,,4.831207,45.859933
2016-822870,2016-06-20,Vente en l'état futur d'achèvement,153000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
